Sales Person;Geography;Product;Date;Amount;Customers;Boxes
Karlen McCaffrey;Australia;Raspberry Choco;04/05/2021;1 141,00 €;38;115
Beverie Moffet;Canada;Mint Chip Choco;04/05/2021;1 442,00 €;249;81
Kaine Padly;USA;Milk Bars;04/05/2021;7 203,00 €;218;515
Ches Bonnell;UK;Smooth Sliky Salty;04/05/2021;13 286,00 €;143;604
Andria Kimpton;Australia;Choco Coated Almonds;04/05/2021;13 678,00 €;177;527
Kaine Padly;UK;Eclairs;04/05/2021;2 723,00 €;65;273
Dotty Strutley;New Zealand;Smooth Sliky Salty;04/05/2021;14 021,00 €;170;668
Wilone O'Kielt;India;Smooth Sliky Salty;04/05/2021;10 486,00 €;272;477
Jan Morforth;Australia;Drinking Coco;04/05/2021;4 676,00 €;28;293
Ches Bonnell;India;70% Dark Bites;04/05/2021;12 047,00 €;25;861
Wilone O'Kielt;Australia;After Nines;04/05/2021;3 864,00 €;383;644
Kaine Padly;UK;Raspberry Choco;04/05/2021;4 424,00 €;112;443
Kelci Walkden;New Zealand;Eclairs;04/05/2021;2 821,00 €;106;283
Dotty Strutley;Australia;Fruit & Nut Bars;04/05/2021;1 050,00 €;108;42
Oby Sorrel;New Zealand;99% Dark & Pure;04/05/2021;3 101,00 €;87;148
Andria Kimpton;Canada;Drinking Coco;04/05/2021;238,00 €;435;14
Gigi Bohling;UK;Milk Bars;04/05/2021;5 362,00 €;84;413
Andria Kimpton;India;White Choc;04/05/2021;4 522,00 €;414;283
Barr Faughny;Australia;99% Dark & Pure;05/05/2021;2 506,00 €;255;120
Ches Bonnell;Canada;Raspberry Choco;05/05/2021;6 923,00 €;40;577
Jan Morforth;Australia;Spicy Special Slims;05/05/2021;4 109,00 €;193;514
Beverie Moffet;Australia;White Choc;05/05/2021;1 043,00 €;46;70
Marney O'Breen;USA;50% Dark Bites;05/05/2021;3 969,00 €;30;284
Ches Bonnell;UK;White Choc;05/05/2021;10 115,00 €;63;723
Wilone O'Kielt;UK;Fruit & Nut Bars;05/05/2021;7 364,00 €;208;295
Dotty Strutley;New Zealand;Spicy Special Slims;05/05/2021;875,00 €;45;125
Kaine Padly;UK;50% Dark Bites;05/05/2021;3 619,00 €;140;227
Madelene Upcott;USA;Eclairs;05/05/2021;5 054,00 €;167;562
Jan Morforth;New Zealand;Organic Choco Syrup;05/05/2021;7 469,00 €;126;679
Ches Bonnell;UK;Fruit & Nut Bars;05/05/2021;11 305,00 €;89;472
Jan Morforth;UK;85% Dark Bars;05/05/2021;6 930,00 €;59;434
Rafaelita Blaksland;Australia;Baker's Choco Chips;05/05/2021;406,00 €;271;32
Ches Bonnell;USA;Milk Bars;05/05/2021;1 918,00 €;87;128
Curtice Advani;India;Mint Chip Choco;05/05/2021;616,00 €;111;35
Andria Kimpton;Australia;Raspberry Choco;05/05/2021;1 533,00 €;150;128
Wilone O'Kielt;New Zealand;99% Dark & Pure;05/05/2021;8 876,00 €;212;423
Husein Augar;UK;Almond Choco;05/05/2021;3 731,00 €;110;311
Andria Kimpton;Australia;85% Dark Bars;05/05/2021;10 465,00 €;313;748
Marney O'Breen;New Zealand;Eclairs;06/05/2021;1 659,00 €;98;185
Jan Morforth;India;Organic Choco Syrup;06/05/2021;616,00 €;83;56
Gunar Cockshoot;India;85% Dark Bars;06/05/2021;3 325,00 €;50;208
Jan Morforth;New Zealand;50% Dark Bites;06/05/2021;2 394,00 €;140;160
Barr Faughny;New Zealand;Manuka Honey Choco;06/05/2021;6 916,00 €;295;532
Jan Morforth;USA;Choco Coated Almonds;06/05/2021;4 158,00 €;171;167
Kaine Padly;UK;Manuka Honey Choco;06/05/2021;3 199,00 €;194;267
Rafaelita Blaksland;India;50% Dark Bites;06/05/2021;2 891,00 €;5;181
Kelci Walkden;India;Fruit & Nut Bars;06/05/2021;2 072,00 €;107;83
Andria Kimpton;USA;Milk Bars;06/05/2021;525,00 €;6;35
Kelci Walkden;UK;Fruit & Nut Bars;07/05/2021;4 900,00 €;65;196
Barr Faughny;India;After Nines;07/05/2021;6 321,00 €;341;1054
Jan Morforth;UK;Smooth Sliky Salty;07/05/2021;448,00 €;216;22
Beverie Moffet;Australia;Fruit & Nut Bars;07/05/2021;2 415,00 €;300;105
Curtice Advani;India;Choco Coated Almonds;07/05/2021;7 140,00 €;201;298
Ches Bonnell;India;Milk Bars;07/05/2021;7 588,00 €;109;542
Marney O'Breen;UK;Peanut Butter Cubes;07/05/2021;3 052,00 €;160;123
Karlen McCaffrey;India;Caramel Stuffed Bars;07/05/2021;3 458,00 €;53;139
Oby Sorrel;India;Caramel Stuffed Bars;07/05/2021;5 383,00 €;134;200
Oby Sorrel;New Zealand;Baker's Choco Chips;07/05/2021;5 180,00 €;44;432
Karlen McCaffrey;USA;85% Dark Bars;07/05/2021;1 008,00 €;90;63
Dennison Crosswaite;UK;Orange Choco;07/05/2021;4 599,00 €;114;384
Karlen McCaffrey;UK;Organic Choco Syrup;07/05/2021;1 337,00 €;98;122
Dennison Crosswaite;New Zealand;After Nines;07/05/2021;4 074,00 €;27;582
Husein Augar;Australia;Raspberry Choco;07/05/2021;3 017,00 €;193;252
Brien Boise;Australia;50% Dark Bites;07/05/2021;1 050,00 €;109;70
Ches Bonnell;USA;Peanut Butter Cubes;07/05/2021;1 547,00 €;124;65
Gigi Bohling;India;85% Dark Bars;07/05/2021;28,00 €;114;2
Dennison Crosswaite;India;Milk Bars;07/05/2021;4 620,00 €;44;330
Ches Bonnell;New Zealand;Spicy Special Slims;07/05/2021;9 639,00 €;219;1607
Jan Morforth;UK;Spicy Special Slims;07/05/2021;406,00 €;86;58
Marney O'Breen;India;Eclairs;07/05/2021;1 974,00 €;9;247
Brien Boise;Australia;Caramel Stuffed Bars;07/05/2021;3 059,00 €;224;114
Brien Boise;New Zealand;Mint Chip Choco;07/05/2021;1 918,00 €;87;107
Marney O'Breen;New Zealand;Baker's Choco Chips;07/05/2021;2 009,00 €;534;168
Marney O'Breen;New Zealand;Drinking Coco;07/05/2021;2 583,00 €;62;144
Jan Morforth;Australia;Choco Coated Almonds;07/05/2021;4 998,00 €;146;200
Marney O'Breen;Australia;Raspberry Choco;07/05/2021;1 946,00 €;127;163
Husein Augar;UK;Milk Bars;07/05/2021;10 745,00 €;425;717
Ches Bonnell;Canada;Choco Coated Almonds;07/05/2021;1 932,00 €;44;78
Rafaelita Blaksland;India;Baker's Choco Chips;07/05/2021;371,00 €;13;29
Curtice Advani;UK;85% Dark Bars;07/05/2021;4 564,00 €;36;286
Barr Faughny;USA;White Choc;07/05/2021;84,00 €;8;6
Husein Augar;Australia;Milk Bars;10/05/2021;2 590,00 €;24;200
Madelene Upcott;Australia;White Choc;10/05/2021;1 771,00 €;142;127
Marney O'Breen;New Zealand;Choco Coated Almonds;10/05/2021;5 082,00 €;42;204
Barr Faughny;India;Spicy Special Slims;10/05/2021;1 624,00 €;447;271
Wilone O'Kielt;Australia;Milk Bars;10/05/2021;630,00 €;105;45
Marney O'Breen;New Zealand;Smooth Sliky Salty;10/05/2021;5 075,00 €;113;242
Barr Faughny;India;Eclairs;10/05/2021;105,00 €;154;14
Marney O'Breen;UK;White Choc;10/05/2021;3 549,00 €;7;222
Kaine Padly;New Zealand;85% Dark Bars;10/05/2021;14,00 €;82;1
Kaine Padly;Canada;Eclairs;10/05/2021;4 844,00 €;15;606
Andria Kimpton;Australia;Mint Chip Choco;10/05/2021;4 032,00 €;5;213
Brien Boise;UK;Baker's Choco Chips;10/05/2021;1 190,00 €;220;85
Dennison Crosswaite;Australia;Peanut Butter Cubes;10/05/2021;4 046,00 €;181;176
Beverie Moffet;USA;Baker's Choco Chips;10/05/2021;11 830,00 €;231;986
Wilone O'Kielt;USA;After Nines;10/05/2021;1 015,00 €;250;145
Dotty Strutley;Australia;Mint Chip Choco;10/05/2021;294,00 €;96;15
Husein Augar;USA;Baker's Choco Chips;10/05/2021;42,00 €;3;3
Beverie Moffet;USA;Eclairs;10/05/2021;6 657,00 €;74;740
Madelene Upcott;India;Almond Choco;10/05/2021;476,00 €;43;34
Wilone O'Kielt;India;After Nines;11/05/2021;6 013,00 €;27;859
Husein Augar;India;Fruit & Nut Bars;11/05/2021;7 007,00 €;148;281
Brien Boise;USA;99% Dark & Pure;11/05/2021;9 471,00 €;99;451
Andria Kimpton;New Zealand;Organic Choco Syrup;11/05/2021;2 961,00 €;213;329
Beverie Moffet;India;Peanut Butter Cubes;11/05/2021;1 547,00 €;267;68
Dennison Crosswaite;UK;Mint Chip Choco;11/05/2021;7 336,00 €;178;367
Curtice Advani;USA;Manuka Honey Choco;11/05/2021;469,00 €;58;37
Oby Sorrel;New Zealand;Peanut Butter Cubes;11/05/2021;8 253,00 €;127;344
Karlen McCaffrey;New Zealand;Raspberry Choco;11/05/2021;3 500,00 €;69;350
Madelene Upcott;New Zealand;Manuka Honey Choco;11/05/2021;4 291,00 €;113;331
Wilone O'Kielt;Australia;50% Dark Bites;11/05/2021;1 344,00 €;64;90
Brien Boise;USA;Organic Choco Syrup;11/05/2021;4 662,00 €;140;424
Dennison Crosswaite;USA;Raspberry Choco;11/05/2021;266,00 €;31;27
Beverie Moffet;USA;Milk Bars;11/05/2021;3 451,00 €;35;266
Kelci Walkden;New Zealand;50% Dark Bites;11/05/2021;2 254,00 €;3;141
Beverie Moffet;USA;Almond Choco;11/05/2021;168,00 €;162;14
Madelene Upcott;USA;Organic Choco Syrup;11/05/2021;3 969,00 €;187;441
Gigi Bohling;UK;50% Dark Bites;11/05/2021;6 937,00 €;42;463
Husein Augar;India;85% Dark Bars;11/05/2021;1 827,00 €;353;115
Dotty Strutley;Canada;Drinking Coco;11/05/2021;2 135,00 €;79;126
Barr Faughny;India;Baker's Choco Chips;11/05/2021;5 089,00 €;59;425
Husein Augar;USA;Orange Choco;11/05/2021;2 345,00 €;257;214
Andria Kimpton;USA;Almond Choco;11/05/2021;84,00 €;37;7
Gunar Cockshoot;New Zealand;Choco Coated Almonds;12/05/2021;4 543,00 €;143;175
Marney O'Breen;Canada;Peanut Butter Cubes;12/05/2021;3 500,00 €;339;140
Rafaelita Blaksland;Australia;Raspberry Choco;12/05/2021;721,00 €;176;61
Curtice Advani;Australia;Smooth Sliky Salty;12/05/2021;5 894,00 €;438;268
Barr Faughny;Canada;50% Dark Bites;12/05/2021;1 029,00 €;39;69
Jan Morforth;UK;Organic Choco Syrup;12/05/2021;119,00 €;495;14
Rafaelita Blaksland;Canada;Fruit & Nut Bars;12/05/2021;4 144,00 €;341;181
Ches Bonnell;New Zealand;Organic Choco Syrup;12/05/2021;4 242,00 €;134;425
Gigi Bohling;India;Mint Chip Choco;13/05/2021;6 433,00 €;6;322
Karlen McCaffrey;Canada;70% Dark Bites;13/05/2021;3 745,00 €;91;289
Oby Sorrel;Australia;Milk Bars;13/05/2021;5 096,00 €;186;392
Gunar Cockshoot;UK;Caramel Stuffed Bars;13/05/2021;3 444,00 €;47;128
Ches Bonnell;India;Almond Choco;13/05/2021;1 624,00 €;301;116
Jan Morforth;UK;Almond Choco;13/05/2021;4 872,00 €;136;348
Dennison Crosswaite;Australia;Caramel Stuffed Bars;13/05/2021;14 854,00 €;441;572
Madelene Upcott;Australia;Organic Choco Syrup;13/05/2021;4 466,00 €;3;406
Dotty Strutley;USA;Spicy Special Slims;13/05/2021;7 014,00 €;45;877
Wilone O'Kielt;Australia;70% Dark Bites;13/05/2021;8 092,00 €;220;540
Dotty Strutley;New Zealand;Orange Choco;13/05/2021;784,00 €;3;72
Brien Boise;Australia;Spicy Special Slims;13/05/2021;1 743,00 €;307;291
Barr Faughny;USA;Peanut Butter Cubes;13/05/2021;1 071,00 €;2;47
Husein Augar;Canada;Organic Choco Syrup;13/05/2021;2 786,00 €;364;279
Brien Boise;UK;Raspberry Choco;13/05/2021;833,00 €;296;84
Rafaelita Blaksland;USA;Caramel Stuffed Bars;13/05/2021;4 648,00 €;126;179
Kaine Padly;USA;50% Dark Bites;13/05/2021;3 710,00 €;158;248
Dotty Strutley;New Zealand;99% Dark & Pure;13/05/2021;6 965,00 €;219;332
Marney O'Breen;India;After Nines;14/05/2021;6 440,00 €;180;1074
Husein Augar;USA;Milk Bars;14/05/2021;1 918,00 €;44;148
Dotty Strutley;India;Drinking Coco;14/05/2021;6 811,00 €;165;401
Brien Boise;USA;Fruit & Nut Bars;14/05/2021;4 704,00 €;298;189
Madelene Upcott;New Zealand;70% Dark Bites;14/05/2021;952,00 €;288;74
Jan Morforth;India;Choco Coated Almonds;14/05/2021;2 653,00 €;91;107
Kelci Walkden;Canada;Spicy Special Slims;14/05/2021;8 778,00 €;170;1254
Curtice Advani;New Zealand;Raspberry Choco;14/05/2021;483,00 €;63;49
Marney O'Breen;USA;Eclairs;14/05/2021;6 608,00 €;215;735
Dennison Crosswaite;Canada;Milk Bars;14/05/2021;3 178,00 €;173;212
Jan Morforth;New Zealand;Peanut Butter Cubes;17/05/2021;728,00 €;53;30
Husein Augar;Australia;Organic Choco Syrup;17/05/2021;6 251,00 €;8;695
Wilone O'Kielt;UK;Smooth Sliky Salty;17/05/2021;5 005,00 €;408;228
Curtice Advani;UK;Smooth Sliky Salty;17/05/2021;3 388,00 €;31;148
Kaine Padly;India;Mint Chip Choco;17/05/2021;5 887,00 €;29;328
Brien Boise;Australia;70% Dark Bites;17/05/2021;749,00 €;193;58
Wilone O'Kielt;India;50% Dark Bites;17/05/2021;4 620,00 €;138;308
Gigi Bohling;Canada;Milk Bars;17/05/2021;7 700,00 €;11;593
Kelci Walkden;Canada;Choco Coated Almonds;17/05/2021;2 968,00 €;102;124
Ches Bonnell;Australia;70% Dark Bites;17/05/2021;2 863,00 €;107;205
Gunar Cockshoot;UK;Organic Choco Syrup;17/05/2021;4 900,00 €;154;446
Marney O'Breen;UK;Drinking Coco;17/05/2021;3 976,00 €;8;249
Karlen McCaffrey;USA;99% Dark & Pure;17/05/2021;448,00 €;106;20
Kaine Padly;India;Peanut Butter Cubes;17/05/2021;84,00 €;228;4
Barr Faughny;USA;Baker's Choco Chips;17/05/2021;210,00 €;62;17
Andria Kimpton;UK;Manuka Honey Choco;17/05/2021;2 961,00 €;571;247
Andria Kimpton;USA;After Nines;18/05/2021;2 569,00 €;131;322
Jan Morforth;Canada;Manuka Honey Choco;18/05/2021;11 130,00 €;191;1012
Husein Augar;UK;Peanut Butter Cubes;18/05/2021;2 926,00 €;122;122
Dotty Strutley;UK;Almond Choco;18/05/2021;8 442,00 €;232;704
Curtice Advani;USA;Organic Choco Syrup;18/05/2021;5 404,00 €;160;601
Gigi Bohling;UK;70% Dark Bites;18/05/2021;161,00 €;222;13
Husein Augar;USA;Choco Coated Almonds;18/05/2021;840,00 €;226;35
Gunar Cockshoot;Canada;Baker's Choco Chips;18/05/2021;4 102,00 €;174;293
Karlen McCaffrey;India;White Choc;18/05/2021;819,00 €;323;59
Brien Boise;UK;70% Dark Bites;18/05/2021;1 855,00 €;118;143
Gunar Cockshoot;New Zealand;Fruit & Nut Bars;18/05/2021;448,00 €;64;18
Jan Morforth;India;99% Dark & Pure;19/05/2021;4 039,00 €;109;184
Jan Morforth;USA;Organic Choco Syrup;19/05/2021;455,00 €;391;46
Madelene Upcott;USA;Raspberry Choco;19/05/2021;6 202,00 €;196;517
Oby Sorrel;India;After Nines;19/05/2021;3 542,00 €;532;591
Barr Faughny;New Zealand;White Choc;19/05/2021;3 395,00 €;76;213
Brien Boise;New Zealand;Raspberry Choco;19/05/2021;2 562,00 €;44;214
Gigi Bohling;USA;Smooth Sliky Salty;19/05/2021;147,00 €;7;7
Dennison Crosswaite;Canada;Drinking Coco;19/05/2021;952,00 €;58;56
Marney O'Breen;India;Organic Choco Syrup;19/05/2021;3 010,00 €;8;301
Gigi Bohling;New Zealand;Manuka Honey Choco;19/05/2021;2 254,00 €;46;174
Brien Boise;UK;Caramel Stuffed Bars;19/05/2021;1 841,00 €;97;71
Curtice Advani;Australia;After Nines;19/05/2021;1 582,00 €;51;264
Rafaelita Blaksland;UK;85% Dark Bars;19/05/2021;1 883,00 €;48;118
Dotty Strutley;UK;Baker's Choco Chips;19/05/2021;1 477,00 €;111;106
Andria Kimpton;India;Peanut Butter Cubes;19/05/2021;3 962,00 €;138;173
Beverie Moffet;USA;Organic Choco Syrup;19/05/2021;3 661,00 €;243;407
Oby Sorrel;India;Organic Choco Syrup;19/05/2021;2 457,00 €;8;246
Brien Boise;UK;99% Dark & Pure;19/05/2021;9 401,00 €;143;428
Gigi Bohling;UK;Baker's Choco Chips;19/05/2021;2 513,00 €;8;180
Andria Kimpton;Canada;Organic Choco Syrup;20/05/2021;427,00 €;189;48
Oby Sorrel;India;Milk Bars;20/05/2021;1 155,00 €;139;83
Oby Sorrel;India;Eclairs;20/05/2021;1 141,00 €;207;127
Oby Sorrel;India;85% Dark Bars;20/05/2021;882,00 €;10;63
Jan Morforth;New Zealand;85% Dark Bars;20/05/2021;693,00 €;303;44
Beverie Moffet;USA;Smooth Sliky Salty;20/05/2021;4 851,00 €;212;211
Kelci Walkden;India;Eclairs;20/05/2021;4 515,00 €;68;565
Andria Kimpton;India;Manuka Honey Choco;20/05/2021;3 857,00 €;330;351
Beverie Moffet;UK;Orange Choco;20/05/2021;28,00 €;138;3
Jan Morforth;India;Orange Choco;20/05/2021;5 621,00 €;358;469
Barr Faughny;Canada;Caramel Stuffed Bars;20/05/2021;1 715,00 €;12;64
Gigi Bohling;New Zealand;Smooth Sliky Salty;20/05/2021;546,00 €;204;25
Oby Sorrel;Canada;Peanut Butter Cubes;20/05/2021;8 239,00 €;157;330
Curtice Advani;Canada;85% Dark Bars;20/05/2021;8 141,00 €;125;543
Kaine Padly;India;Milk Bars;20/05/2021;3 157,00 €;641;211
Oby Sorrel;UK;Milk Bars;20/05/2021;462,00 €;158;36
Gunar Cockshoot;Canada;Manuka Honey Choco;20/05/2021;168,00 €;43;13
Gunar Cockshoot;New Zealand;After Nines;20/05/2021;3 003,00 €;82;429
Husein Augar;Canada;Mint Chip Choco;20/05/2021;8 099,00 €;21;450
Wilone O'Kielt;USA;Peanut Butter Cubes;20/05/2021;4 690,00 €;112;196
Madelene Upcott;Canada;50% Dark Bites;20/05/2021;3 899,00 €;239;244
Kelci Walkden;Canada;Organic Choco Syrup;21/05/2021;6 678,00 €;34;608
Dennison Crosswaite;UK;Eclairs;21/05/2021;2 590,00 €;225;324
Wilone O'Kielt;India;Baker's Choco Chips;21/05/2021;1 897,00 €;22;146
Gunar Cockshoot;Australia;50% Dark Bites;21/05/2021;714,00 €;305;45
Wilone O'Kielt;New Zealand;85% Dark Bars;21/05/2021;42,00 €;149;3
Gigi Bohling;UK;Caramel Stuffed Bars;21/05/2021;4 592,00 €;188;184
Rafaelita Blaksland;UK;Milk Bars;21/05/2021;7 259,00 €;334;519
Kelci Walkden;Canada;70% Dark Bites;21/05/2021;4 396,00 €;195;339
Oby Sorrel;USA;Baker's Choco Chips;21/05/2021;2 331,00 €;293;180
Brien Boise;UK;Choco Coated Almonds;21/05/2021;686,00 €;269;29
Barr Faughny;India;Smooth Sliky Salty;21/05/2021;8 092,00 €;157;368
Kelci Walkden;India;50% Dark Bites;21/05/2021;4 998,00 €;22;357
Husein Augar;Canada;Drinking Coco;21/05/2021;882,00 €;109;56
Marney O'Breen;New Zealand;Almond Choco;21/05/2021;8 057,00 €;296;672
Curtice Advani;New Zealand;Choco Coated Almonds;21/05/2021;6 972,00 €;397;279
Karlen McCaffrey;USA;Manuka Honey Choco;21/05/2021;2 023,00 €;238;156
Marney O'Breen;India;85% Dark Bars;21/05/2021;8 834,00 €;39;553
Beverie Moffet;New Zealand;50% Dark Bites;21/05/2021;3 962,00 €;11;265
Dotty Strutley;USA;Fruit & Nut Bars;21/05/2021;3 717,00 €;6;155
Kelci Walkden;New Zealand;Fruit & Nut Bars;24/05/2021;5 005,00 €;30;209
Madelene Upcott;Australia;70% Dark Bites;24/05/2021;1 029,00 €;57;80
Gigi Bohling;New Zealand;Orange Choco;24/05/2021;10 150,00 €;42;846
Beverie Moffet;Canada;White Choc;24/05/2021;1 260,00 €;179;84
Rafaelita Blaksland;India;Drinking Coco;24/05/2021;2 254,00 €;183;141
Kaine Padly;New Zealand;Caramel Stuffed Bars;25/05/2021;5 467,00 €;268;211
Rafaelita Blaksland;Australia;Milk Bars;25/05/2021;3 682,00 €;40;246
Kelci Walkden;USA;50% Dark Bites;25/05/2021;7 350,00 €;80;490
Curtice Advani;Australia;Eclairs;25/05/2021;1 806,00 €;89;201
Dotty Strutley;Australia;Caramel Stuffed Bars;25/05/2021;1 743,00 €;191;68
Dennison Crosswaite;New Zealand;Manuka Honey Choco;25/05/2021;3 213,00 €;295;268
Beverie Moffet;India;Caramel Stuffed Bars;25/05/2021;6 937,00 €;9;267
Marney O'Breen;New Zealand;99% Dark & Pure;25/05/2021;357,00 €;7;16
Gigi Bohling;New Zealand;Eclairs;25/05/2021;4 956,00 €;48;496
Dennison Crosswaite;New Zealand;White Choc;25/05/2021;1 085,00 €;198;68
Dotty Strutley;New Zealand;White Choc;25/05/2021;2 093,00 €;42;150
Oby Sorrel;New Zealand;Smooth Sliky Salty;25/05/2021;1 029,00 €;102;47
Karlen McCaffrey;India;Raspberry Choco;25/05/2021;9 016,00 €;91;820
Barr Faughny;Australia;Organic Choco Syrup;25/05/2021;1 526,00 €;7;170
Oby Sorrel;New Zealand;White Choc;25/05/2021;10 521,00 €;129;702
Dotty Strutley;USA;Organic Choco Syrup;25/05/2021;8 435,00 €;183;767
Oby Sorrel;New Zealand;70% Dark Bites;25/05/2021;8 715,00 €;201;581
Wilone O'Kielt;Canada;Organic Choco Syrup;25/05/2021;8 428,00 €;292;767
Andria Kimpton;UK;85% Dark Bars;25/05/2021;4 977,00 €;91;356
Karlen McCaffrey;Australia;Orange Choco;25/05/2021;4 179,00 €;221;380
Barr Faughny;Australia;After Nines;25/05/2021;5 131,00 €;201;733
Jan Morforth;USA;99% Dark & Pure;26/05/2021;2 310,00 €;171;105
Beverie Moffet;UK;Milk Bars;26/05/2021;1 162,00 €;119;83
Oby Sorrel;New Zealand;Almond Choco;26/05/2021;3 367,00 €;409;281
Wilone O'Kielt;UK;After Nines;26/05/2021;9 114,00 €;228;1302
Kaine Padly;New Zealand;Smooth Sliky Salty;26/05/2021;7 189,00 €;115;313
Husein Augar;New Zealand;White Choc;26/05/2021;3 353,00 €;121;240
Barr Faughny;USA;Raspberry Choco;26/05/2021;5 488,00 €;4;499
Rafaelita Blaksland;New Zealand;Almond Choco;26/05/2021;735,00 €;141;53
Karlen McCaffrey;India;Fruit & Nut Bars;26/05/2021;3 507,00 €;42;141
Rafaelita Blaksland;Australia;85% Dark Bars;26/05/2021;6 524,00 €;121;435
Gigi Bohling;Australia;50% Dark Bites;26/05/2021;3 892,00 €;248;244
Oby Sorrel;UK;Organic Choco Syrup;26/05/2021;4 445,00 €;215;494
Ches Bonnell;New Zealand;99% Dark & Pure;26/05/2021;2 653,00 €;7;127
Curtice Advani;Australia;Raspberry Choco;26/05/2021;1 036,00 €;173;104
Rafaelita Blaksland;New Zealand;Caramel Stuffed Bars;26/05/2021;12 712,00 €;80;471
Barr Faughny;Australia;70% Dark Bites;26/05/2021;3 808,00 €;90;254
Dennison Crosswaite;India;85% Dark Bars;26/05/2021;2 051,00 €;5;137
Beverie Moffet;USA;Fruit & Nut Bars;26/05/2021;1 946,00 €;57;82
Dennison Crosswaite;India;Drinking Coco;26/05/2021;4 403,00 €;124;245
Dennison Crosswaite;New Zealand;Almond Choco;26/05/2021;56,00 €;536;4
Beverie Moffet;USA;Manuka Honey Choco;26/05/2021;2 534,00 €;218;195
Wilone O'Kielt;New Zealand;Manuka Honey Choco;26/05/2021;1 596,00 €;398;123
Husein Augar;India;99% Dark & Pure;27/05/2021;2 079,00 €;184;95
Dennison Crosswaite;Canada;Orange Choco;27/05/2021;6 727,00 €;257;561
Dennison Crosswaite;New Zealand;Milk Bars;27/05/2021;756,00 €;249;59
Barr Faughny;UK;Caramel Stuffed Bars;27/05/2021;742,00 €;257;29
Rafaelita Blaksland;Canada;Orange Choco;27/05/2021;2 947,00 €;303;268
Rafaelita Blaksland;India;Spicy Special Slims;27/05/2021;182,00 €;45;31
Kaine Padly;New Zealand;Milk Bars;27/05/2021;4 683,00 €;200;361
Beverie Moffet;UK;50% Dark Bites;27/05/2021;1 666,00 €;150;105
Kelci Walkden;New Zealand;Choco Coated Almonds;27/05/2021;8 484,00 €;264;327
Marney O'Breen;New Zealand;White Choc;27/05/2021;644,00 €;334;41
Gigi Bohling;Australia;After Nines;27/05/2021;2 709,00 €;214;387
Andria Kimpton;Australia;99% Dark & Pure;27/05/2021;4 389,00 €;294;200
Oby Sorrel;Canada;Drinking Coco;27/05/2021;2 198,00 €;334;130
Kelci Walkden;Canada;Peanut Butter Cubes;27/05/2021;287,00 €;232;13
Husein Augar;Australia;Peanut Butter Cubes;28/05/2021;1 197,00 €;44;48
Husein Augar;Canada;After Nines;28/05/2021;4 732,00 €;178;676
Karlen McCaffrey;Canada;50% Dark Bites;28/05/2021;175,00 €;11;11
Jan Morforth;UK;Milk Bars;28/05/2021;910,00 €;91;65
Kaine Padly;Canada;Caramel Stuffed Bars;28/05/2021;1 526,00 €;22;59
Kaine Padly;Australia;Caramel Stuffed Bars;28/05/2021;1 113,00 €;14;45
Dotty Strutley;USA;Mint Chip Choco;28/05/2021;1 925,00 €;453;102
Husein Augar;New Zealand;Spicy Special Slims;28/05/2021;6 503,00 €;149;1084
Rafaelita Blaksland;UK;Caramel Stuffed Bars;28/05/2021;6 013,00 €;35;232
Dennison Crosswaite;India;Almond Choco;28/05/2021;1 974,00 €;95;141
Ches Bonnell;New Zealand;Almond Choco;28/05/2021;7 840,00 €;381;604
Karlen McCaffrey;India;Smooth Sliky Salty;28/05/2021;3 248,00 €;20;142
Gunar Cockshoot;USA;Mint Chip Choco;28/05/2021;3 430,00 €;119;181
Kelci Walkden;India;70% Dark Bites;28/05/2021;1 638,00 €;274;110
Gunar Cockshoot;Australia;Spicy Special Slims;31/05/2021;4 284,00 €;8;536
Curtice Advani;India;Smooth Sliky Salty;31/05/2021;2 898,00 €;272;126
Oby Sorrel;Australia;Orange Choco;31/05/2021;987,00 €;292;76
Rafaelita Blaksland;New Zealand;Manuka Honey Choco;31/05/2021;2 149,00 €;202;180
